avg_rainfall,max_rainfall,avg_temperature,elevation,ndvi,slope,soil_moisture,jumlah_penduduk,rainfall_intensity,elevation_slope_ratio,vegetation_moisture,population_density_proxy,month,is_rainy_season,extreme_rainfall,landcover_encoded,banjir
10.641,22.096,38.18,12.702,0.226,0.132,35.698,190489.0,1.898118718323168,11.2208480565371,8.067748,13902.277039848195,8,0,0,0,0
82.932,144.449,39.24,53.48,0.288,0.263,41.387,327813.0,1.721024162417195,42.34362628661916,11.919455999999998,6017.125550660793,11,1,1,0,1
41.905,68.336,32.94,39.539,0.465,0.297,37.569,101969.0,1.592728120265703,30.48496530454896,17.469585000000002,2515.3309159081377,2,1,0,3,0
45.558,79.735,40.22,19.751,0.249,0.128,37.141,158036.0,1.712595042742386,17.509751773049643,9.248109,7615.82574333767,1,1,0,0,0
99.031,175.93512499999997,25.44,207.8025,0.676,0.6970000000000001,38.099,71814.0,1.758806020133758,122.45285798467884,25.754924,343.9326636414794,11,1,1,3,0
30.139,63.775,34.48,18.626,0.529,0.144,37.276,70728.0,2.0480747615530364,16.281468531468533,19.719004,3603.790889636197,4,0,0,3,0
89.646,175.93512499999997,30.04,152.23,0.729,0.6970000000000001,38.651,156896.0,1.940903349292853,89.70536240424278,28.176579,1023.9248188996934,9,0,1,3,0
51.536,104.438,41.47,19.751,0.253,0.128,37.999,158036.0,1.987932084665753,17.509751773049643,9.613747,7615.82574333767,11,1,1,0,0
45.817,123.069,39.63,29.644,0.343,0.174,31.557625,211039.0,2.628724608582353,25.250425894378196,10.824265375,6886.796762824697,10,0,1,0,0
61.223,93.518,34.93,5.555,0.405,0.072,38.008,43986.0,1.5029490702794788,5.181902985074626,15.393240000000002,6710.297482837529,11,1,0,1,0
34.963,89.194,34.68,106.017,0.437,0.295,38.94,161689.0,2.480160164613631,81.86640926640926,17.01678,1510.8721044320062,7,0,0,0,0
101.194875,175.93512499999997,27.18,207.8025,0.552,0.6970000000000001,38.936,166309.0,1.7215650491279526,122.45285798467884,21.492672,796.4895056333138,11,1,1,3,0
54.186,90.204,42.49,16.788,0.272,0.102,37.993,193480.0,1.6345449932954008,15.234119782214156,10.334096,10876.995727456711,11,1,0,0,0
85.111,135.422,36.2,4.06,0.138,0.101,38.721,416552.5,1.5726446098640126,3.68755676657584,5.343498,82322.62845849803,2,1,1,0,1
32.297,50.157,31.37,10.334,0.63,0.08,39.071,133153.0,1.5063519235967204,9.568518518518518,24.61473,11748.103052761602,3,1,0,1,0
17.577,41.607,36.4,54.274,0.414,0.287,37.629,84101.0,2.239705011573451,42.17094017094018,15.578405999999998,1521.5291095270832,7,0,0,0,0
45.313,66.228,37.82,27.96,0.255,0.131,40.608,222398.0,1.4300088528059074,24.721485411140584,10.35504,7679.488950276243,2,1,0,0,0
